SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
7732,2022-04-01 09:00:11.950,22301625,LF3,102.5339048,307.6017144,C,2022-04-01 09:00:37.790
7730,2022-04-01 08:54:13.530,22101600,LF1,171.681240605263,515.043721815789,C,2022-04-01 08:54:37.937
7729,2022-04-01 08:54:13.140,22101600,LF1,171.681240605263,515.043721815789,C,2022-04-01 08:54:37.893
7727,2022-04-01 08:18:11.140,22401668,LF4,126.132449,378.397347,C,2022-04-01 08:18:37.940
7728,2022-04-01 08:18:11.140,22401668,LF4,126.132449,378.397347,C,2022-04-01 08:18:37.977
7725,2022-04-01 08:02:11.457,22101599,LF1,80.0169063789474,240.050719136842,C,2022-04-01 08:02:37.700
7726,2022-04-01 08:02:11.457,22101599,LF1,80.0169063789474,240.050719136842,C,2022-04-01 08:02:37.793
7723,2022-04-01 07:40:11.533,22301624,LF3,280.184640336842,840.553921010526,C,2022-04-01 07:40:37.710
7724,2022-04-01 07:40:11.533,22301624,LF3,280.184640336842,840.553921010526,C,2022-04-01 07:40:37.720
7721,2022-04-01 07:24:35.847,22201601,LF2,241.685550736842,725.056652210526,C,2022-04-01 07:24:37.823
7722,2022-04-01 07:24:35.847,22201601,LF2,241.685550736842,725.056652210526,C,2022-04-01 07:24:37.833
7719,2022-04-01 06:42:50.840,22301623,LF3,156.634566921053,469.903700763158,C,2022-04-01 06:43:07.750
7720,2022-04-01 06:42:50.840,22301623,LF3,156.634566921053,469.903700763158,C,2022-04-01 06:43:07.793
7717,2022-04-01 06:32:05.837,22101598,LF1,199.009049136842,597.027147410526,C,2022-04-01 06:32:07.760
7718,2022-04-01 06:32:05.837,22101598,LF1,199.009049136842,597.027147410526,C,2022-04-01 06:32:07.833
7715,2022-04-01 05:38:25.203,22401666,LF4,97.7063935789474,293.119180736842,C,2022-04-01 05:38:37.660
7716,2022-04-01 05:38:25.203,22401666,LF4,97.7063935789474,293.119180736842,C,2022-04-01 05:38:37.723
7713,2022-04-01 05:24:25.190,22101597,LF1,150.776804578947,452.330413736842,C,2022-04-01 05:24:37.600
7714,2022-04-01 05:24:25.190,22101597,LF1,150.776804578947,452.330413736842,C,2022-04-01 05:24:37.633
7712,2022-04-01 04:44:12.253,22401665,LF4,158.902203378947,476.706610136842,C,2022-04-01 04:44:37.620
7711,2022-04-01 04:44:12.250,22401665,LF4,158.902203378947,476.706610136842,C,2022-04-01 04:44:37.557
7710,2022-04-01 04:29:30.390,22201599,LF1,128.9436288,386.8308864,C,2022-04-01 04:29:37.713
7709,2022-04-01 04:29:30.387,22201599,LF1,128.9436288,386.8308864,C,2022-04-01 04:29:37.680
7707,2022-04-01 04:01:30.407,22301621,LF3,140.460731021053,421.382193063158,C,2022-04-01 04:01:37.537
7708,2022-04-01 04:01:30.407,22301621,LF3,140.460731021053,421.382193063158,C,2022-04-01 04:01:37.623
7705,2022-04-01 03:11:30.367,22301620,LF3,243.639693510526,730.919080531579,C,2022-04-01 03:11:37.510
7706,2022-04-01 03:11:30.367,22301620,LF3,243.639693510526,730.919080531579,C,2022-04-01 03:11:37.517
7703,2022-04-01 02:36:05.390,22101595,LF1,173.999554378947,521.998663136842,C,2022-04-01 02:36:07.380
7704,2022-04-01 02:36:05.390,22101595,LF1,173.999554378947,521.998663136842,C,2022-04-01 02:36:07.417
7702,2022-04-01 02:15:35.923,22401663,LF4,143.4918574,430.4755722,C,2022-04-01 02:15:37.957
7701,2022-04-01 02:15:35.920,22401663,LF4,143.4918574,430.4755722,C,2022-04-01 02:15:37.517
7699,2022-04-01 01:56:05.390,22201597,LF2,257.242106136842,771.726318410526,C,2022-04-01 01:56:07.560
7700,2022-04-01 01:56:05.390,22201597,LF2,257.242106136842,771.726318410526,C,2022-04-01 01:56:07.607
7697,2022-04-01 01:25:30.393,22401662,LF4,157.736640321053,473.209920963158,C,2022-04-01 01:25:37.470
7698,2022-04-01 01:25:30.393,22401662,LF4,157.736640321053,473.209920963158,C,2022-04-01 01:25:37.520
7695,2022-04-01 01:03:05.390,22101594,LF1,163.228110821053,489.684332463158,C,2022-04-01 01:03:07.390
7696,2022-04-01 01:03:05.390,22101594,LF1,163.228110821053,489.684332463158,C,2022-04-01 01:03:07.480
7693,2022-04-01 00:40:12.730,22301618,LF3,128.339520021053,385.018560063158,C,2022-04-01 00:40:37.620
7694,2022-04-01 00:40:12.730,22301618,LF3,128.339520021053,385.018560063158,C,2022-04-01 00:40:37.647
7691,2022-04-01 00:04:05.383,22101593,LF1,159.433519321053,478.300557963158,C,2022-04-01 00:04:07.310
7692,2022-04-01 00:04:05.383,22101593,LF1,159.433519321053,478.300557963158,C,2022-04-01 00:04:07.333
7689,2022-03-31 23:34:12.087,22301617,LF3,122.322396378947,366.967189136842,C,2022-03-31 23:34:37.313
7690,2022-03-31 23:34:12.087,22301617,LF3,122.322396378947,366.967189136842,C,2022-03-31 23:34:37.323
7687,2022-03-31 22:58:50.980,22401660,LF4,63.5771769789474,190.731530936842,C,2022-03-31 22:59:07.200
7688,2022-03-31 22:58:50.980,22401660,LF4,63.5771769789474,190.731530936842,C,2022-03-31 22:59:07.270
7686,2022-03-31 22:47:31.000,22101592,LF1,234.442949310526,703.328847931579,C,2022-03-31 22:47:37.290
7685,2022-03-31 22:22:34.940,22301616,LF3,84.233517531579,252.700552594737,C,2022-03-31 22:22:37.243
7684,2022-03-31 21:50:12.253,22401659,LF4,0,0,C,2022-03-31 21:50:37.213
7683,2022-03-31 21:16:50.643,22301615,LF3,18.284237731579,54.852713194737,C,2022-03-31 21:17:07.100
7682,2022-03-31 21:08:50.650,22201593,LF2,147.93442411579,443.803272347369,C,2022-03-31 21:09:07.300
7681,2022-03-31 20:15:50.543,22301614,LF3,88.6062435315789,265.818730594737,C,2022-03-31 20:16:07.363
7680,2022-03-31 20:15:50.227,22301614,LF3,88.6062435315789,265.818730594737,C,2022-03-31 20:16:07.503
7679,2022-03-31 20:14:50.570,22101590,LF1,18.372780831579,55.1183424947369,C,2022-03-31 20:15:07.760
7678,2022-03-31 19:38:50.450,22201592,LF2,40.555690531579,121.667071594737,C,2022-03-31 19:39:07.123
7677,2022-03-31 19:32:50.437,22401657,LF4,162.357643015789,487.072929047368,C,2022-03-31 19:33:07.100
7676,2022-03-31 19:00:50.480,22301613,LF3,186.145203815789,558.435611447368,C,2022-03-31 19:01:07.137
7675,2022-03-31 18:38:50.530,22201591,LF2,316.925705710526,950.777117131579,C,2022-03-31 18:39:07.017
7674,2022-03-31 18:21:30.430,22401656,LF4,84.0834007315789,252.250202194737,C,2022-03-31 18:21:37.147
7673,2022-03-31 17:55:35.450,22101588,LF1,187.245399026316,561.736197078947,C,2022-03-31 17:55:36.913
7672,2022-03-31 17:46:50.443,22301612,LF3,91.5839194315789,274.751758294737,C,2022-03-31 17:47:07.030
7671,2022-03-31 16:56:50.453,22201590,LF2,143.402172189474,430.206516568421,C,2022-03-31 16:57:06.830
7670,2022-03-31 16:54:50.483,22301611,LF3,140.7958487302,422.3875461906,C,2022-03-31 16:55:06.887
7669,2022-03-31 16:38:12.180,22101587,LF1,6.4356885,19.3070655,C,2022-03-31 16:38:37.083
7668,2022-03-31 16:06:50.557,22401654,LF4,36.1846321,108.5538963,C,2022-03-31 16:07:06.977
7667,2022-03-31 15:50:10.813,22201589,LF2,106.50865188509,319.525955655268,C,2022-03-31 15:50:36.900
7666,2022-03-31 15:33:30.557,22301610,LF3,175.960394126316,527.881182378947,C,2022-03-31 15:33:36.767
7665,2022-03-31 15:32:12.140,22401653,LF1,0,0,C,2022-03-31 15:32:37.443
7664,2022-03-31 14:29:00.423,22301609,LF3,212.943562489474,638.830687468421,C,2022-03-31 14:29:16.433
7663,2022-03-31 14:10:15.833,22201588,LF2,341.685989910526,1025.05796973158,C,2022-03-31 14:10:16.423
7662,2022-03-31 13:49:40.417,22401652,LF4,111.6941944,335.0825832,C,2022-03-31 13:49:46.443
7661,2022-03-31 13:23:00.393,22101585,LF1,167.646660989474,502.939982968421,C,2022-03-31 13:23:16.427
7660,2022-03-31 13:02:15.790,22401651,LF4,123.4608345,370.3825035,C,2022-03-31 13:02:16.403
7659,2022-03-31 12:43:00.390,22201587,LF2,96.629124531579,289.887373594737,C,2022-03-31 12:43:16.473
7658,2022-03-31 12:08:15.790,22301607,LF3,161.842443789474,485.527331368421,C,2022-03-31 12:08:16.443
7657,2022-03-31 11:45:43.217,22201586,LF2,88.7831663894737,266.349499168421,C,2022-03-31 11:45:46.907
7656,2022-03-31 11:25:40.423,22401650,LF4,76.795087,230.385261,C,2022-03-31 11:25:46.300
7655,2022-03-31 11:11:13.367,22101583,LF1,122.4669284,367.4007852,C,2022-03-31 11:11:16.297
7654,2022-03-31 10:54:12.390,22301606,LF3,121.233910926316,363.701732778948,C,2022-03-31 10:54:16.333
7653,2022-03-31 10:16:20.383,22401649,LF4,201.174900647368,603.524701942105,C,2022-03-31 10:16:46.320
7652,2022-03-31 09:41:00.153,22301605,LF3,130.695632,392.086896,C,2022-03-31 09:41:16.290
7651,2022-03-31 09:01:40.397,22401648,LF4,28.3687708,85.1063124,C,2022-03-31 09:01:46.227
7650,2022-03-31 08:37:44.867,22301604,LF3,85.2300918947368,255.69027568421,C,2022-03-31 08:37:46.020
7649,2022-03-31 08:35:39.923,22101581,LF1,128.698560789474,386.095682368421,C,2022-03-31 08:35:46.083
7648,2022-03-31 07:44:17.863,22401647,LF4,126.2613226,378.7839678,C,2022-03-31 07:44:46.157
7647,2022-03-31 07:20:55.833,22101580,LF1,91.5352906,274.6058718,C,2022-03-31 07:21:15.960
7646,2022-03-31 07:20:16.503,22301603,LF3,216.740384357895,650.221153073684,C,2022-03-31 07:20:46.190
7645,2022-03-31 06:31:35.833,22201582,LF2,185.7757582,557.3272746,C,2022-03-31 06:31:45.950
7644,2022-03-31 06:02:55.820,22401646,LF4,111.660342852632,334.981028557895,C,2022-03-31 06:03:15.950
7643,2022-03-31 05:38:16.263,22201581,LF1,195.3780776,586.1342328,C,2022-03-31 05:38:46.043
7642,2022-03-31 05:09:35.850,22401645,LF4,49.297313231579,147.891939694737,C,2022-03-31 05:09:45.903
7641,2022-03-31 05:07:40.870,22101578,LF1,116.988916626316,350.966749878947,C,2022-03-31 05:07:45.933
7640,2022-03-31 04:20:15.893,22401644,LF4,33.978458531579,101.935375594737,C,2022-03-31 04:20:45.830
